o,d,km,tau_min,tau_max,tau_bar,ratio,profiles
2,6,1.609339952468872,3.4000000953674316,9.466666221618652,7.066666603088379,2.784313440322876,48
5,1,1.2391917705535889,3.433333396911621,9.550000190734863,6.133333206176758,2.7815535068511963,48
24,1,4.345218181610107,7.449999809265137,20.700000762939453,15.866666793823242,2.7785236835479736,41
12,19,1.6254334449768066,3.0166666507720947,8.375,5.916666507720947,2.776243209838867,46
7,5,4.023349761962891,8.658332824707031,23.983333587646484,17.933332443237305,2.7699713706970215,42
23,6,2.1082353591918945,4.949999809265137,13.699999809265137,9.416666984558105,2.767676830291748,45
10,23,4.248657703399658,8.649999618530273,23.866666793823242,15.550000190734863,2.759152412414551,38
12,8,3.9267895221710205,6.133333206176758,16.866666793823242,11.350000381469727,2.75,45
9,0,2.4944770336151123,4.891666412353516,13.449999809265137,9.133333206176758,2.7495741844177246,48
9,3,4.377404689788818,9.475000381469727,26.03333282470703,16.983333587646484,2.7475812435150146,44
21,11,1.2713786363601685,2.8583333492279053,7.849999904632568,6.2833333015441895,2.7463555335998535,45
42,18,1.4966862201690674,3.1500000953674316,8.649999618530273,5.083333492279053,2.7460315227508545,27
14,15,4.264750957489014,7.4666666984558105,20.5,12.083333015441895,2.7455356121063232,41
19,10,4.087723731994629,8.0,21.950000762939453,14.908332824707031,2.7437500953674316,38
19,16,4.11991024017334,7.0,19.16666603088379,12.066666603088379,2.7380950450897217,36
42,8,2.2530760765075684,4.5,12.316666603088379,6.5,2.737036943435669,33
19,0,1.1265380382537842,2.9666666984558105,8.116666793823242,5.633333206176758,2.735954999923706,46
21,0,4.828020095825195,9.425000190734863,25.78333282470703,18.266666412353516,2.7356321811676025,41
5,20,5.310822010040283,10.149999618530273,27.75,19.316667556762695,2.73399019241333,42
21,1,3.299146890640259,6.6666669845581055,18.200000762939453,12.966666221618652,2.7300000190734863,41
9,8,5.487849235534668,8.566666603088379,23.383333206176758,15.75,2.729572057723999,45
1,11,2.7358779907226562,4.866666793823242,13.283333778381348,10.716666221618652,2.729452133178711,44
15,2,2.574944019317627,6.550000190734863,17.850000381469727,12.583333015441895,2.7251908779144287,40
0,6,1.2874720096588135,3.4166667461395264,9.300000190734863,6.933333396911621,2.7219512462615967,44
1,8,4.828020095825195,8.216667175292969,22.316667556762695,15.183333396911621,2.716024398803711,44
18,22,1.4484059810638428,2.7833333015441895,7.558333396911621,5.599999904632568,2.715569019317627,36
3,21,5.423475742340088,9.183333396911621,24.899999618530273,20.33333396911621,2.7114336490631104,41
9,4,3.0094656944274902,7.141666412353516,19.358333587646484,13.100000381469727,2.710618495941162,48
5,19,3.6210150718688965,8.316666603088379,22.54166603088379,15.125,2.710420846939087,42
4,10,2.816344976425171,5.5416669845581055,14.949999809265137,10.433333396911621,2.697744131088257,43
3,12,3.0094656944274902,7.766666889190674,20.941665649414062,13.100000381469727,2.6963517665863037,45
7,19,1.2874720096588135,2.8333332538604736,7.625,5.75,2.691176652908325,44
13,5,1.6737135648727417,3.4833333492279053,9.358333587646484,6.133333206176758,2.686602830886841,48
3,6,1.1265380382537842,3.1583333015441895,8.458333015441895,5.7833333015441895,2.678100109100342,47
4,12,2.05995512008667,6.050000190734863,16.133333206176758,10.550000190734863,2.6666665077209473,48
8,12,4.023349761962891,6.350000381469727,16.924999237060547,11.966666221618652,2.665354013442993,45
0,18,3.765855550765991,6.133333206176758,16.33333396911621,11.516666412353516,2.663043737411499,41
11,0,4.023349761962891,7.699999809265137,20.5,14.833333015441895,2.6623377799987793,45
16,12,2.7358779907226562,4.0,10.633333206176758,8.416666984558105,2.6583333015441895,48
7,2,2.574944019317627,7.133333206176758,18.933332443237305,14.283333778381348,2.654205560684204,44
9,1,1.4484059810638428,3.116666555404663,8.266666412353516,6.316666603088379,2.6524064540863037,48
0,22,2.4783835411071777,4.9083333015441895,13.0,9.533333778381348,2.64855694770813,40
3,19,2.05995512008667,6.191666603088379,16.383333206176758,10.183333396911621,2.6460297107696533,46
3,9,4.345218181610107,9.600000381469727,25.399999618530273,16.299999237060547,2.6458332538604736,44
24,28,1.6254334449768066,4.258333206176758,11.266666412353516,6.933333396911621,2.6457924842834473,46
12,9,1.609339952468872,2.633333444595337,6.966666221618652,5.433333396911621,2.645569324493408,48
3,23,1.2874720096588135,3.2083334922790527,8.483333587646484,6.050000190734863,2.644155740737915,48
8,5,5.793623924255371,11.0,29.0,21.0,2.6363637447357178,41
31,4,3.218679904937744,7.125,18.733333587646484,13.983333587646484,2.629239797592163,32
4,19,3.218679904937744,8.375,22.008333206176758,15.116666793823242,2.6278607845306396,41
11,2,4.345218181610107,8.841667175292969,23.21666717529297,17.5,2.6258246898651123,44
6,12,2.4461967945098877,6.141666412353516,16.116666793823242,10.916666984558105,2.624152183532715,43
2,10,2.671504497528076,4.433333396911621,11.633333206176758,9.399999618530273,2.6240601539611816,43
12,5,1.9312080144882202,5.4666666984558105,14.333333015441895,10.216666221618652,2.621951103210449,46
3,24,6.727041244506836,12.266666412353516,32.116668701171875,23.133333206176758,2.618206739425659,38
23,7,3.3796141147613525,7.183333396911621,18.791667938232422,13.324999809265137,2.616009473800659,37
3,7,2.092142105102539,5.016666412353516,13.100000381469727,9.333333015441895,2.6112959384918213,47
13,8,7.563898086547852,13.883333206176758,36.233333587646484,21.983333587646484,2.6098439693450928,32
2,4,1.2230983972549438,3.366666793823242,8.774999618530273,6.300000190734863,2.606435537338257,48
6,0,1.2874720096588135,3.633333444595337,9.466666221618652,7.25,2.605504274368286,47
1,22,4.023349761962891,8.024999618530273,20.90833282470703,15.133333206176758,2.6053998470306396,36
19,20,1.6254334449768066,2.866666555404663,7.4583330154418945,5.650000095367432,2.6017441749572754,45
21,10,1.770274043083191,3.049999952316284,7.925000190734863,6.25,2.598360776901245,44
20,1,4.506152153015137,8.050000190734863,20.899999618530273,16.649999618530273,2.596273183822632,37
22,1,3.9911632537841797,9.133333206176758,23.683332443237305,18.633333206176758,2.5930657386779785,34
11,3,5.664876937866211,11.550000190734863,29.933332443237305,20.516666412353516,2.591630458831787,42
0,10,3.218679904937744,5.833333492279053,15.116666793823242,11.933333396911621,2.591428518295288,42
8,1,4.828020095825195,9.133333206176758,23.649999618530273,17.299999237060547,2.589416027069092,42
