o,d,h,mean_min,n,mean_km
1002,5007,23,12.68222222222222,30.0,4.4659185
1002,5008,19,12.921705426356588,43.0,4.895761986046511
1002,5008,20,12.794444444444443,36.0,4.895522872222222
1002,5008,21,12.630555555555558,30.0,5.05493694
1002,6002,7,12.32333333333333,30.0,3.125874726666667
1002,6003,19,14.448581560283689,47.0,4.086011536170212
1002,6003,20,11.83838383838384,33.0,3.388392218181818
1002,6003,21,11.552439024390244,41.0,3.363128078048781
1002,6004,18,15.083333333333334,54.0,3.6773419
1002,6004,19,13.276999999999997,50.0,3.4555748479999995
1002,6004,20,14.076470588235294,51.0,3.8283358588235297
1002,6004,21,12.727898550724637,46.0,3.719674539130435
1002,6004,23,12.316319444444444,48.0,3.710199258333333
1002,6005,8,11.623697916666666,64.0,3.5254604375
1002,6006,18,15.369202898550723,46.0,4.057635939130434
1002,6006,19,15.013888888888888,60.0,3.979361373333333
1002,6006,20,14.882170542635658,43.0,3.8339718511627914
1002,6006,21,14.80098039215686,34.0,3.9575563941176473
1002,6007,17,14.143548387096773,31.0,4.801543761290323
1002,6007,18,15.494318181818185,44.0,4.893490877272727
1002,6007,19,15.333625730994154,57.0,4.978225066666666
1002,6007,20,15.408333333333333,52.0,5.296895019230769
1002,6007,21,14.369927536231886,46.0,5.111753639130434
1002,6007,22,14.447407407407407,45.0,5.125926715555556
1002,6008,19,15.028174603174602,42.0,5.601269552380952
1002,6008,20,15.456910569105691,41.0,5.5541856097560975
1002,6008,21,14.34,30.0,5.373049813333334
1002,7003,18,15.992929292929292,33.0,4.4178821393939405
1002,7003,19,14.030952380952382,42.0,4.134471095238094
1002,7003,20,14.029999999999998,45.0,4.173197435555555
1002,7003,21,13.723333333333331,30.0,4.136540246666667
1002,7003,23,13.14222222222222,30.0,4.265823893333334
1002,7004,19,13.444166666666666,40.0,3.8081007749999998
1002,7004,20,12.550757575757576,44.0,3.7461046090909083
1002,7005,8,21.031372549019608,34.0,5.117701200000001
1002,7007,21,15.718859649122809,38.0,5.204097347368421
1002,7007,22,15.811403508771932,38.0,5.456509621052632
1002,8003,19,15.779268292682925,41.0,4.959907375609757
1002,8003,20,14.440310077519381,43.0,4.741564758139535
1002,8003,21,14.790952380952383,35.0,4.825261131428571
1002,8003,22,14.875555555555556,30.0,4.775984673333332
1002,8005,21,13.93763440860215,31.0,4.406476748387097
1002,8006,8,22.150555555555556,30.0,5.404700166666667
1002,8006,9,22.497747747747745,37.0,5.964562005405404
1002,8006,13,21.530107526881718,31.0,6.47369993548387
1002,8006,18,19.389062499999998,32.0,5.83838376875
1002,8007,12,16.843548387096774,31.0,6.711466941935483
1002,8007,19,16.073611111111113,36.0,6.358681155555555
1002,8007,20,16.038383838383837,33.0,7.098164757575758
1002,8007,21,15.132926829268294,41.0,6.547658668292684
1002,8008,20,13.497849462365592,31.0,6.65747618064516
1002,8008,21,12.969658119658119,39.0,6.638733825641025
1002,8008,22,14.928645833333333,32.0,6.7401170875
1002,9003,18,18.41777777777778,30.0,5.681506646666667
1002,9003,19,16.04398148148148,36.0,5.385030455555556
1002,9003,23,14.824796747967477,41.0,5.5753817951219515
1002,9006,8,22.81111111111111,36.0,5.5374707166666655
1002,9006,9,24.356250000000003,32.0,5.642748375
1002,9006,13,20.34009009009009,37.0,6.6665822108108115
1002,9006,19,18.64864864864865,37.0,6.152898281081081
1002,9006,20,17.78055555555556,30.0,6.0269783
1002,9006,21,17.38645833333333,32.0,6.07073223125
1002,9006,22,16.474747474747474,33.0,6.128171648484848
1002,9007,10,21.36397849462366,31.0,7.343781819354838
1002,9007,12,21.53828828828829,37.0,7.22463172972973
1002,9007,13,19.526576576576577,37.0,7.326846567567566
1002,9007,14,21.486666666666668,30.0,7.296211113333333
1002,9008,18,17.77091503267974,51.0,7.120856164705883
1002,9008,19,17.156451612903222,31.0,7.164677851612903
1002,9008,20,16.160077519379843,43.0,7.188884353488372
1002,9008,22,17.015811965811967,39.0,7.31589457948718
1002,9009,21,14.062765957446809,47.0,7.268738195744679
1002,9009,22,14.476829268292684,41.0,7.133301419512194
1002,10003,7,16.525,30.0,5.506088586666666
1002,10006,8,20.140566037735844,53.0,5.683703041509434
1002,10006,10,26.38494623655914,31.0,5.932754038709678
1002,10006,11,22.79398148148148,36.0,5.8374338111111115
1002,10006,12,25.11111111111111,33.0,6.160358448484848
1002,10006,13,23.491919191919187,33.0,6.237411696969697
1002,10006,14,22.83888888888889,36.0,6.27687303888889
1002,10006,18,21.7,36.0,6.142761372222223
1002,10006,19,20.42571428571429,35.0,6.222628062857142
1002,10006,20,18.4280303030303,44.0,5.8956707863636355
1002,10006,22,16.430303030303033,44.0,5.9201766454545455
1002,10006,23,16.183854166666663,32.0,5.946511299999999
1002,10008,8,24.14333333333333,30.0,7.352001566666666
1002,10008,12,19.136190476190475,35.0,8.04394113142857
1002,10008,13,19.53989898989899,33.0,8.178373272727272
